Cell Name,Cluster
C2_P4_M55_L001,CD8_3
C3_P3_M55_L001,CD8_2
C4_P2_M55_L001,CD8_3
C5_P1_M55_L001,CD8_2
C5_P3_M55_L001,CD8_6
C6_P2_M55_L001,CD8_3
C6_P3_M55_L001,CD8_2
C7_P1_M55_L001,CD8_3
C7_P2_M55_L001,CD8_1
C7_P3_M55_L001,CD8_6
C8_P4_M55_L001,CD8_1
C9_P4_M55_L001,CD8_6
D11_P1_M55_L001,CD8_1
D11_P2_M55_L001,CD8_2
D11_P3_M55_L001,CD8_1
D12_P4_M55_L001,CD8_5
D1_P1_M55_L001,CD8_6
D1_P2_M55_L001,CD8_3
D1_P3_M55_L001,CD8_3
D1_P4_M55_L001,CD8_6
D2_P1_M55_L001,CD8_3
D2_P2_M55_L001,CD8_1
D2_P3_M55_L001,CD8_2
D2_P4_M55_L001,CD8_6
D3_P2_M55_L001,CD8_3
D3_P3_M55_L001,CD8_5
D4_P3_M55_L001,CD8_3
D4_P4_M55_L001,CD8_2
D5_P2_M55_L001,CD8_3
D5_P3_M55_L001,CD8_4
D7_P1_M55_L001,CD8_2
D7_P3_M55_L001,CD8_3
D7_P4_M55_L001,CD8_6
D8_P1_M55_L001,CD8_3
D8_P3_M55_L001,CD8_3
D8_P4_M55_L001,CD8_1
D9_P4_M55_L001,CD8_2
E10_P1_M55_L001,CD8_2
E10_P3_M55_L001,CD8_6
E11_P1_M55_L001,CD8_2
E12_P1_M55_L001,CD8_3
E12_P3_M55_L001,CD8_6
E12_P4_M55_L001,CD8_5
E1_P4_M55_L001,CD8_6
E2_P2_M55_L001,CD8_3
E2_P3_M55_L001,CD8_3
E3_P2_M55_L001,CD8_6
E3_P4_M55_L001,CD8_3
E4_P1_M55_L001,CD8_4
E4_P2_M55_L001,CD8_3
E5_P4_M55_L001,CD8_1
E6_P2_M55_L001,CD8_3
E7_P1_M55_L001,CD8_1
E7_P3_M55_L001,CD8_5
E8_P1_M55_L001,CD8_6
E8_P2_M55_L001,CD8_2
E9_P3_M55_L001,CD8_3
E9_P4_M55_L001,CD8_6
F10_P1_M55_L001,CD8_3
F10_P2_M55_L001,CD8_3
F10_P4_M55_L001,CD8_1
F11_P1_M55_L001,CD8_6
F11_P2_M55_L001,CD8_3
F12_P2_M55_L001,CD8_3
F12_P3_M55_L001,CD8_1
F1_P3_M55_L001,CD8_3
F1_P4_M55_L001,CD8_6
F3_P2_M55_L001,CD8_3
F5_P2_M55_L001,CD8_3
F7_P1_M55_L001,CD8_6
F8_P2_M55_L001,CD8_3
F8_P3_M55_L001,CD8_2
F9_P1_M55_L001,CD8_1
G10_P3_M55_L001,CD8_1
G10_P4_M55_L001,CD8_3
G12_P1_M55_L001,CD8_3
G1_P3_M55_L001,CD8_3
G2_P2_M55_L001,CD8_4
G3_P1_M55_L001,CD8_5
G3_P4_M55_L001,CD8_3
G4_P1_M55_L001,CD8_6
G4_P2_M55_L001,CD8_1
G4_P3_M55_L001,CD8_6
G5_P2_M55_L001,CD8_3
G5_P3_M55_L001,CD8_6
G6_P1_M55_L001,CD8_3
G6_P2_M55_L001,CD8_3
G6_P4_M55_L001,CD8_3
G7_P1_M55_L001,CD8_3
G7_P3_M55_L001,CD8_5
G8_P1_M55_L001,CD8_3
G8_P2_M55_L001,CD8_3
G8_P3_M55_L001,CD8_1
G8_P4_M55_L001,CD8_6
G9_P1_M55_L001,CD8_3
G9_P2_M55_L001,CD8_3
G9_P3_M55_L001,CD8_6
G9_P4_M55_L001,CD8_2
H10_P1_M55_L001,CD8_1
H10_P4_M55_L001,CD8_2
H11_P1_M55_L001,CD8_6
H11_P3_M55_L001,CD8_3
H12_P3_M55_L001,CD8_3
H1_P1_M55_L001,CD8_2
H1_P2_M55_L001,CD8_1
H1_P4_M55_L001,CD8_6
H2_P1_M55_L001,CD8_6
H2_P2_M55_L001,CD8_3
H2_P4_M55_L001,CD8_1
H3_P1_M55_L001,CD8_1
H3_P4_M55_L001,CD8_3
H4_P3_M55_L001,CD8_6
H5_P1_M55_L001,CD8_3
H5_P2_M55_L001,CD8_3
H5_P3_M55_L001,CD8_3
H6_P1_M55_L001,CD8_3
H6_P2_M55_L001,CD8_3
H7_P4_M55_L001,CD8_6
H8_P1_M55_L001,CD8_5
H8_P3_M55_L001,CD8_2
H8_P4_M55_L001,CD8_1
H9_P1_M55_L001,CD8_3
H9_P3_M55_L001,CD8_6
H9_P4_M55_L001,CD8_3
A10_P3_M34,CD8_1
A11_P4_M34,CD8_1
A12_P2_M34,CD8_2
A12_P3_M34,CD8_3
A12_P4_M34,CD8_3
A2_P2_M34,CD8_3
A2_P4_M34,CD8_5
A3_P1_M34,CD8_4
